;x;f1(x) aprox;f1(x) real;error absol;error tot num
0;0.0;0.9983341664682815;1.0;0.0016658335317184525;-0.001666666666661667
1;0.1;0.9933466539753061;0.9950041652780258;0.0016575113027197386;-0.0016583402754583767
2;0.2;0.9784339500725572;0.9800665778412416;0.001632627768684447;-0.0016334442963970698
3;0.30000000000000004;0.9537450575679464;0.955336489125606;0.0015914315576596172;-0.0015922274818710104
4;0.4;0.919526659714317;0.9210609940028851;0.0015343342885680844;-0.0015351016566664756
5;0.5;0.8761206554319242;0.8775825618903728;0.0014619064584485697;-0.0014626376031456217
6;0.6000000000000001;0.8239607431674401;0.8253356149096782;0.0013748717422381596;-0.0013755593581777973
7;0.7000000000000001;0.7635680875224365;0.7648421872844884;0.001274099762051839;-0.001274736978802481
8;0.8;0.6955461119489614;0.6967067093471654;0.0011605973982039552;-0.0011611778489069426
9;0.9;0.6205744695418686;0.6216099682706644;0.001035498728795825;-0.001036016613779441
10;1.0;0.53940225216976;0.5403023058681398;0.0009000536983797547;-0.0009005038431085664
11;1.1;0.4528405057966495;0.4535961214255773;0.0007556156289278415;-0.0007559935357042958
12;1.2000000000000002;0.36175412677878827;0.3623577544766734;0.000603627697885134;-0.0006039295907894558
13;1.3;0.26705322010616983;0.26749882862458735;0.00044560851841751736;-0.00044583138103597897
14;1.4000000000000001;0.16968400593430744;0.16996714290024081;0.0002831369659333782;-0.0002832785714954014
15;1.5;0.07061936526522483;0.0707372016677029;0.00011783640247807481;-0.0001178953361078382
16;1.6;-0.029150880757929376;-0.029199522301288815;-4.864154335943935e-05;4.866587050714803e-05
17;1.7000000000000002;-0.1286298608165498;-0.12884449429552486;-0.00021463347897504592;0.00021474082383087477
18;1.8;-0.2268236138252705;-0.2272020946930871;-0.0003784808678166107;0.0003786701578268119
19;1.9000000000000001;-0.3227510202625672;-0.3232895668635036;-0.0005385466009363848;0.000538815944777506
20;2.0;-0.4154536051927038;-0.4161468365471424;-0.000693231354438606;0.0006935780609169041
21;2.1;-0.5040051150304581;-0.5048461045998576;-0.0008409895693994862;0.0008414101743380962
22;2.2;-0.5875207723607684;-0.5885011172553458;-0.000980344894577434;0.0009808351954305764
23;2.3000000000000003;-0.6651661163421974;-0.6662760212798244;-0.001109904937627082;0.001110460035471374
24;2.4000000000000004;-0.7361653403638196;-0.7373937155412458;-0.0012283751774261331;0.0012289895259070766
25;2.5;-0.799809043648434;-0.8011436155469337;-0.0013345718984997257;0.0013352393592498898
26;2.6;-0.8554613193506333;-0.8568887533689473;-0.0014274340183140222;0.0014281479222865792
27;2.7;-0.9025661083277975;-0.9040721420170612;-0.0015060336892637194;0.0015067869033667687
28;2.8000000000000003;-0.940652755099239;-0.9422223406686583;-0.0015695855694193295;0.0015703705677860972
29;2.9000000000000004;-0.9693407104801894;-0.9709581651495907;-0.0016174546694012193;0.0016182636085876512
30;3.0;-0.9883433339034597;-0.9899924966004454;-0.0016491626969856732;0.0016499874943390759
31;3.1;-0.9974707574372366;-0.9991351502732795;-0.001664392836042916;0.0016652252504604662
32;3.2;-0.9966317828826956;-0.9982947757947531;-0.0016629929120575149;0.0016638246263295888
33;3.3000000000000003;-0.985834792996258;-0.9874797699088649;-0.0016449769126068992;0.001645799616519775
34;3.4000000000000004;-0.965187667731858;-0.9667981925794609;-0.0016105248476028233;0.0016113303209707682
35;3.5;-0.9348967063401061;-0.9364566872907963;-0.0015599809506902096;0.0015607611454896608
36;3.6;-0.8952645660943678;-0.896758416334147;-0.0014938502397792153;0.0014945973605619118
37;3.7;-0.8466872382393339;-0.848100031710408;-0.0014127934710741474;0.0014135000528556802
38;3.8000000000000003;-0.7896500913774035;-0.7909677119144165;-0.001317620537013009;0.0013182795198623612
39;3.9000000000000004;-0.7247230218260448;-0.7259323042001399;-0.001209282374095122;0.0012098871736719
40;4.0;-0.6525547594021824;-0.6536436208636119;-0.0010888614614295022;0.0010894060347776868
41;4.1000000000000005;-0.5738663855282972;-0.5748239465332685;-0.0009575610049713523;0.000958039910893781
42;4.2;-0.48944412842522045;-0.4902608213406994;-0.0008166929154789782;0.0008171013689061659
43;4.3;-0.400131507379638;-0.40079917207997545;-0.0006676647003374669;0.0006679986201382927
44;4.4;-0.3068209045782089;-0.30733286997841935;-0.000511965400210479;0.0005122214499690324
45;4.5;-0.21044464871974145;-0.2107957994307797;-0.0003511507110382506;0.0003513263323896329
46;4.6000000000000005;-0.111965699495018;-0.11215252693505398;-0.0001868274400359804;0.00018692087823009
47;4.7;-0.012368026011880806;-0.01238866346289056;-2.0637451009754282e-05;2.064777244315094e-05
48;4.800000000000001;0.08735322469884232;0.08749898343944727;0.0001457587406049482;-0.00014583163906074548
49;4.9;0.18620167086351058;0.18651236942257576;0.0003106985590651812;-0.00031085394903262634
50;5.0;0.2831896514830001;0.28366218546322625;0.0004725339802261197;-0.00047277030910037715
