;t;y(t) aprox;y(t) real;error abs
0;0.0;1.0;1.0;0.0
1;0.009900990099009901;1.0;1.0000490184062056;4.901840620563647e-05
2;0.019801980198019802;1.000098039214744;1.0001961168724707;9.807765772662513e-05
3;0.0297029702970297;1.000294194524544;1.0004414251629394;0.0001472306383953903
4;0.039603960396039604;1.000588629323378;1.0007851596218673;0.0001965302984892059
5;0.04950495049504951;1.0009815935829613;1.0012276232796888;0.00024602969672749
6;0.05940594059405941;1.001473423959251;1.0017692060016228;0.00029578204237168393
7;0.06930693069306931;1.002064543941451;1.0024103846789023;0.0003458407374512529
8;0.07920792079207921;1.0027554640436063;1.003151723462774;0.00039625941916776597
9;0.0891089108910891;1.0035467820389086;1.0039938740414214;0.00044709200251280556
10;0.099009900990099;1.0044391832368649;1.0049375759599979;0.0004983927231330121
11;0.1089108910891089;1.0054334408035064;1.0059836569840002;0.0005502161804937789
12;0.11881188118811879;1.006530416124849;1.0071330335062245;0.0006026173813755697
13;0.1287128712871287;1.0077310592138438;1.0083867109975877;0.000655651783743938
14;0.1386138613861386;1.0090364091610877;1.0097457845021225;0.0007093753410347681
15;0.1485148514851485;1.010447594629592;1.0112114391764893;0.0007638445468971522
16;0.15841584158415842;1.0119658343939406;1.0127849508743814;0.0008191164804407514
17;0.16831683168316833;1.0135924379241965;1.0144676867762157;0.0008752488520191726
18;0.17821782178217824;1.0153288060149508;1.0162611060645532;0.0009323000496024303
19;0.18811881188118815;1.017176431459935;1.0181667606457157;0.0009903291857806806
20;0.19801980198019806;1.019136899772652;1.0201862959180934;0.001049396145441417
21;0.20792079207920797;1.0212118899535145;1.0223214515876844;0.0011095616341698644
22;0.21782178217821788;1.0234031753040076;1.0245740625314155;0.0011708872274078796
23;0.2277227722772278;1.0257126242884305;1.02694605970887;0.0012334354204395215
24;0.2376237623762377;1.0281422014438022;1.029439471123029;0.0012972696792268312
25;0.2475247524752476;1.0306939683385528;1.032056422830716;0.001362454492163323
26;0.2574257425742575;1.0333700845806528;1.034799140003439;0.0014290554227862629
27;0.2673267326732674;1.0361728088758724;1.037669948039373;0.0014971391635005826
28;0.2772277227722773;1.0391045001368955;1.0406712737272654;0.001566773590369941
29;0.2871287128712872;1.0421676186440507;1.0438056464630714;0.001638027819020671
30;0.2970297029702971;1.0453647272584587;1.04707569952018;0.001710972261721233
31;0.30693069306930704;1.0486984926884315;1.0504841713741238;0.001785678685692238
32;0.31683168316831695;1.0521716868100008;1.0540339070826996;0.001862220272698778
33;0.32673267326732686;1.0557871880424894;1.0577278597224735;0.0019406716799841295
34;0.33663366336633677;1.0595479827800793;1.0615690918827005;0.0020211091026212102
35;0.3465346534653467;1.0634571668803745;1.0655607772176907;0.0021036103373162085
36;0.3564356435643566;1.0675179472109937;1.069706202058745;0.002188254847751203
37;0.3663366336633665;1.0717336432552744;1.0740087670867955;0.0022751238315210642
38;0.3762376237623764;1.076107688778214;1.0784719890669483;0.0023643002887343556
39;0.3861386138613863;1.080643633553812;1.083099502646157;0.0024558690923448534
40;0.3960396039603962;1.085345145155035;1.0878950622153183;0.00254991706028318
41;0.40594059405940613;1.090216010807658;1.0928625438371347;0.0026465330294767053
42;0.41584158415841604;1.0952601393092982;1.0980059472411035;0.002745807931805233
43;0.42574257425742595;1.1004815630149973;1.1033293978870962;0.002847834872098831
44;0.43564356435643586;1.105884439890761;1.108837149098997;0.002952709208235982
45;0.4455445544554458;1.1114730556365175;1.1145335842699575;0.003060528633439974
46;0.4554455445544557;1.1172518258800097;1.1204232191408563;0.003171393260846589
47;0.4653465346534656;1.1232252984431885;1.1265107041536258;0.003285405710437228
48;0.4752475247524755;1.1293981556827324;1.1328008268811582;0.003402671198425855
49;0.4851485148514854;1.1357752169063744;1.1392985145355667;0.0035232976291923457
50;0.4950495049504953;1.1423614408667784;1.14600883655664;0.003647395689861721
51;0.5049504950495052;1.1491619283347645;1.1529370072823855;0.003775078947620969
52;0.5148514851485151;1.156181924753749;1.160088388703631;0.003906463949882033
53;0.524752475247525;1.1634268229773248;1.1674684933047224;0.004041670327397551
54;0.5346534653465349;1.1709021660919756;1.1750829869924102;0.00418082090043459
55;0.5445544554455448;1.1786136503269866;1.1829376921151034;0.004324041788116739
56;0.5544554455445547;1.1865671280536794;1.19103859057474;0.004471462521060676
57;0.5643564356435646;1.1947686108761744;1.1993918270335944;0.004623216157420007
58;0.5742574257425745;1.203224272815957;1.2080037122184182;0.004779439402461172
59;0.5841584158415845;1.211940453592598;1.2168807263244;0.004940272731801976
60;0.5940594059405944;1.2209236620030555;1.2260295225215034;0.005105860518447969
61;0.6039603960396043;1.2301805794020726;1.235456930565833;0.005276351163760351
62;0.6138613861386142;1.2397180632862574;1.2451699605187572;0.005451897232499725
63;0.6237623762376241;1.2495431509845276;1.255175806576617;0.005632655592089364
64;0.633663366336634;1.2596630634576802;1.2654818510139436;0.005818787556263416
65;0.6435643564356439;1.2700852092099462;1.2760956682431779;0.006010459033231719
66;0.6534653465346538;1.2808171883154735;1.2870250289940328;0.006207840678559284
67;0.6633663366336637;1.2918667965627875;1.2982779046156812;0.006411108052893688
68;0.6732673267326736;1.3032420297203686;1.3098624715051153;0.0066204417847466335
69;0.6831683168316836;1.314951087926593;1.3217871156650753;0.006836027738482242
70;0.6930693069306935;1.3270023802073887;1.3340604373951144;0.007058057187725675
71;0.7029702970297034;1.339404529125061;1.346691256119425;0.007286726994364168
72;0.7128712871287133;1.352166375561862;1.3596886153552181;0.007522239793356089
