;t;y1 aprox;y2 aprox;y(t) real;error abs
0;0.0;1.0;2.0;1.0;0.0
1;0.0196078431372549;1.0392156862745099;1.9803921568627452;1.039018445661293;-0.0001972406132169091
2;0.0392156862745098;1.0780469050365244;1.959253982254186;1.0776225396893937;-0.0004243653471307507
3;0.058823529411764705;1.1164636497866065;1.9366092686358194;1.1157828502277503;-0.0006807995588562488
4;0.0784313725490196;1.1544363805441715;1.9124841344777939;1.1534704795896673;-0.0009659009545042174
5;0.09803921568627451;1.1919360694555008;1.8869069749446665;1.1906571081519268;-0.0012789613035739666
6;0.11764705882352941;1.228934245434808;1.859908407310313;1.227315037087615;-0.0016192083471930907
7;0.13725490196078433;1.2654030377350103;1.8315212112468615;1.263417229841248;-0.001985807893762237
8;0.1568627450980392;1.301315218347694;1.8017802641483558;1.2989373522528254;-0.0023778660948685637
9;0.1764705882352941;1.3366442431349166;1.770722471665111;1.3338498112412271;-0.002794431893689442
10;0.196078431372549;1.3713642915989384;1.738386693639403;1.3681297919614834;-0.003234499637454924
11;0.21568627450980388;1.405450305199711;1.7048136656471156;1.4017532933547314;-0.003697011844979503
12;0.23529411764705876;1.438878024133968;1.670045916363262;1.4346971620142894;-0.004180862119678608
13;0.25490196078431365;1.471624022494032;1.6341276809817966;1.4669391242960133;-0.004684898198018761
14;0.27450980392156854;1.5036657417289692;1.5971048109318315;1.4984578166061315;-0.005207925122837631
15;0.29411764705882343;1.5349815223354757;1.5590246801432028;1.5292328138049085;-0.0057487085305671926
16;0.3137254901960783;1.5655506337108327;1.519936088124265;1.5592446556698278;-0.006305978041004856
17;0.3333333333333332;1.595353302105426;1.479889160123788;1.5884748713674806;-0.0068784307379454734
18;0.3529411764705881;1.6243707366176572;1.4389352446568595;1.6169060018889518;-0.007464734728705347
19;0.372549019607843;1.6525851531795563;1.3971268086817252;1.6445216204092286;-0.008063532770327786
20;0.39215686274509787;1.679979796487041;1.354517330720514;1.6713063505369534;-0.008673445950087677
21;0.41176470588235276;1.7065389598345022;1.3111611922217639;1.6972458824267302;-0.009293077407771966
22;0.43137254901960764;1.7322480028192426;1.2671135674665863;1.7223269867321012;-0.009921016087141465
23;0.45098039215686253;1.7570933668872148;1.2224303123231621;1.7465375263832856;-0.010555840503929215
24;0.4705882352941174;1.781062588697473;1.1771678521560416;1.7698664661796726;-0.011196122517800333
25;0.4901960784313723;1.8041443112887678;1.1313830691974425;1.792303880193058;-0.011840431095709869
26;0.5098039215686272;1.8263282930377374;1.0851331896873835;1.8138409569834526;-0.012487336054284759
27;0.5294117647058821;1.8476054144041567;1.038475671088077;1.8344700026351892;-0.013135411768967487
28;0.5490196078431371;1.8679676824647073;0.9914680896755471;1.8541844416267579;-0.013783240837949462
29;0.568627450980392;1.8874082332426592;0.9441680288079518;1.8729788155535372;-0.014429417689121982
30;0.588235294117647;1.9059213318467367;0.8966329681655811;1.8908487797280857;-0.015072552118650995
31;0.6078431372549019;1.9235023704382188;0.8489201742520283;1.907791097688129;-0.015711272750089877
32;0.6274509803921569;1.9401478640510037;0.8010865924395861;1.9238036336476112;-0.0163442304033925
33;0.6470588235294118;1.9558554442949172;0.7531887408345619;1.9388853429313433;-0.01697010136357391
34;0.6666666666666667;1.970623850977948;0.7052826062299554;1.953036260438649;-0.017587590539298814
35;0.6862745098039217;1.984452921688339;0.6574235424038525;1.966257487186179;-0.01819543450215999
36;0.7058823529411766;1.9973435793825323;0.6096661710119877;1.9785511749845934;-0.018792404397938833
37;0.7254901960784316;2.009297818029826;0.5620642853122797;1.989920509308073;-0.01937730872175325
38;0.7450980392156865;2.020318686369283;0.5146707569477754;2.0003696904197206;-0.01994899594956223
39;0.7647058823529415;2.030410269838847;0.4675374460024279;2.0099039128197123;-0.020506357019134835
40;0.7843137254901964;2.0395776707408553;0.42071511453150295;2.018529343086626;-0.02104832765422948
41;0.8039215686274513;2.047826986712061;0.3742533437552462;2.026253096185673;-0.02157389052638825
42;0.8235294117647063;2.055165287570007;0.3282004550907786;2.0330832103205774;-0.022082077249429677
43;0.8431372549019612;2.0616005906110026;0.2826034351830958;2.0390286204086046;-0.022571970202398095
44;0.8627450980392162;2.067141834438122;0.23750786508158317;2.044099130260684;-0.023042704177437923
45;0.8823529411764711;2.071798851400506;0.19295785369368088;2.0483053835507783;-0.02349346784972761
46;0.9019607843137261;2.075582338727833;0.14899597563230393;2.051658833660494;-0.02392350506733898
47;0.921568627450981;2.0785038284461135;0.10566321355840717;2.0541717124865553;-0.024332115959558198
48;0.941176470588236;2.080575656162945;0.06299890510473669;2.0558569983000305;-0.024718657862914384
49;0.9607843137254909;2.0818109288120574;0.0210406944513966;2.0567283827472354;-0.025082546064822075
50;0.9803921568627458;2.0822234914483593;-0.02017551139156125;2.056800237082919;-0.02542325436544024
