t;corriente aprox;error
0.0;0.0;0.0
0.05;0.004923289516964151;-1.4756286632310887
0.1;0.009491227145908335;-1.4437902547560253
0.15000000000000002;0.013420290399923917;-1.440181664217138
0.2;0.016466674035814262;-1.4447681632975244
0.25;0.01844144873170332;-1.4541606698005038
0.30000000000000004;0.019222307845161945;-1.4681246106809032
0.35000000000000003;0.01876117189533101;-1.4880364275534808
0.4;0.017087177959179328;-1.5173797628696115
0.45;0.01430486811572064;-1.5643769075769267
0.5;0.010587689571958825;-1.6521379772093823
